t_m,mu_m,desktop_rate,visit_duration,bounce_rate,top_country_1,top_country_2,top_country_3,direct,ref,soc,org,dis_ad,ad
3,30,89.8,581,16.7,17.1,9.3,4.3,72.4,1.1,0.7,25.7,0,0
3,63,21.1,35,76.6,14.1,8.1,6.1,15.9,2.4,0.6,81.1,0,0
3,46,83.9,143,74,35.1,11.6,6.3,60.1,3.7,0,36.3,0,0
3,30,40.8,221,64,15,13,6.3,35,1,0,63.8,0,0
3,52,43.3,118,40.7,48.1,10.4,3.4,43,4.5,2.3,50,0,0
3,36,90.8,362,23.9,27,4.4,4.1,77.4,1,0.5,21,0.1,0
3,55,18.6,346,32.3,63.2,33,4.2,19.1,21.1,0,59.7,0,0
3,61,80.6,196,34.2,18,8,6.4,28.4,1,0.5,68.5,0,0
3,37,71.5,213,66.2,38.5,10.7,8.1,14.2,0.8,0.6,84.3,0,0
3,73,18.9,45,75,57.2,6.6,3.9,28.6,5.4,35.2,30.4,0,0
3,66,83.3,86,75.4,32.2,18.6,10,63.3,21.4,1.3,14,0,0
3,60,40.6,82,55.5,16.8,9,6.5,33.2,9,1.8,56,0,0
3,71,44.6,134,42.1,5.7,5.5,5.3,21.3,0.8,1,76.9,0,0
3,57,50.2,147,57,18.5,8.9,4.9,21,1.9,1,75.8,0,0
3,26,55,281,40.6,21.4,10.6,8.2,74,3.1,4.3,18.6,0,0
3,59,46.8,294,32.6,10.2,9.4,8.9,27,3.1,2.1,67.2,0,0
3,49,74.3,210,56.6,27.7,5,4.7,42.4,0.8,2,54.4,0,0
3,28,71.5,48,80.6,24.8,5,4.8,32.7,0.9,0.3,66,0,0
3,58,21.4,67,44.5,28.1,10.7,10,30.3,11.3,0.8,57.6,0,0
3,49,71,98,70.5,11.6,11.5,11.3,32.7,1.7,0.5,65,0,0
3,48,55.8,113,66.2,29.2,11,9.2,26,28.8,2,43.3,0,0
3,19,26.6,168,75.2,90.7,7.7,0.8,17,1.4,0.2,81.5,0,0
3,25,51.6,126,68.8,86,4.3,2.1,55.5,7,0.2,37.2,0,0
3,43,61,206,52.5,50.5,8,4,71.8,9.5,1.7,16.8,0,0
3,63,66.9,154,57.8,17.2,7.2,6.6,32.6,8.8,1.6,56.5,0,0
