total_visit,monthly_visit,t_m,monthly_u visit,mu_m,desktop_rate,visit_duration,bounce rate,top_country_1,top_country_2,top_country_3,direct,ref,soc,org,dis_ad,ad
185000,61600,3,21658,35,44.7,261,27.8,99.6,0.3,0.2,49.1,2.1,0,48.6,0,0
105000,35000,3,18289,52,46.8,181,56.4,77.8,9.9,6.1,31.8,6.8,8.1,50,0,0
15610000,5205000,3,2690000,52,68.7,180,53.8,12.3,3.8,3.8,19.8,10.3,0.8,69,0,0
82180000,27390000,3,15800000,58,28.6,109,53.6,34.2,6.1,4.6,28.8,3,23.9,44.2,0,0
43150000,14380000,3,7279000,51,60.8,154,52.7,27,5,5,26.7,7.5,64.5,0,,0
14060000,4880000,3,623267,13,45.2,744,40.9,96.2,1.1,1.1,60.1,2.2,4.2,33.3,,0
1060000,353400,3,172878,49,54.6,262,48.2,10.9,6.6,5.3,63.5,3.9,0.5,32,0.1,0
40000,13300,3,10838,81,26.5,11,86.5,56.5,26.8,2.7,60.5,8.5,0,31,0,0
75070000,25020000,3,5488000,22,57.9,902,32.3,17.2,5.5,5.1,65.5,6.2,8.8,19,0.24,0
100200000,33420000,3,13150000,39,71.1,258,46.3,27.7,3.8,3.5,44.4,10.4,13.4,31.2,0,0
1850000,617000,3,301758,49,42.6,166,58.4,13,7.4,7.3,35.8,4,8.5,51.1,0,0
31340000,10440000,3,3203000,31,86.5,416,38.6,14.2,11.8,4.2,51.6,4.8,4.6,37.5,0,0
638000,212700,3,69546,33,60.2,305,63,62.6,7.8,3.4,68.5,1.1,2.2,26.3,0,0
960000,320100,3,90424,28,39.5,369,39.6,38.4,26,6.8,59.4,3.6,5.8,30.7,0,0
135500,45200,3,26952,60,77.4,85,59.3,19.4,5.5,5.2,70,13.6,3.5,12.3,0,0
15200000,5069000,3,1517000,30,89.8,581,16.7,17.1,9.3,4.3,72.4,1.1,0.7,25.7,0,0
6440000,2146000,3,1352000,63,21.1,35,76.6,14.1,8.1,6.1,15.9,2.4,0.6,81.1,0,0
68800,22900,3,10539,46,83.9,143,74,35.1,11.6,6.3,60.1,3.7,0,36.3,0,0
8329000,2776000,3,827002,30,40.8,221,64,15,13,6.3,35,1,0,63.8,0,0
402000,134000,3,70310,52,43.3,118,40.7,48.1,10.4,3.4,43,4.5,2.3,50,0,0
40050000,13350000,3,4822000,36,90.8,362,23.9,27,4.4,4.1,77.4,1,0.5,21,0.1,0
117000,39000,3,21497,55,18.6,346,32.3,63.2,33,4.2,19.1,21.1,0,59.7,0,0
71510000,23830000,3,14420000,61,80.6,196,34.2,18,8,6.4,28.4,1,0.5,68.5,0,0
35240000,11740000,3,4306000,37,71.5,213,66.2,38.5,10.7,8.1,14.2,0.8,0.6,84.3,0,0
24030000,8011000,3,5882000,73,18.9,45,75,57.2,6.6,3.9,28.6,5.4,35.2,30.4,0,0
144500,48200,3,31577,66,83.3,86,75.4,32.2,18.6,10,63.3,21.4,1.3,14,0,0
883500,294500,3,176117,60,40.6,82,55.5,16.8,9,6.5,33.2,9,1.8,56,0,0
3994000,1331000,3,947241,71,44.6,134,42.1,5.7,5.5,5.3,21.3,0.8,1,76.9,0,0
16060000,5354000,3,3059000,57,50.2,147,57,18.5,8.9,4.9,21,1.9,1,75.8,0,0
8564000,2854000,3,753738,26,55,281,40.6,21.4,10.6,8.2,74,3.1,4.3,18.6,0,0
3231000,1077000,3,635228,59,46.8,294,32.6,10.2,9.4,8.9,27,3.1,2.1,67.2,0,0
3818000,1272000,3,617801,49,74.3,210,56.6,27.7,5,4.7,42.4,0.8,2,54.4,0,0
3449000,1149000,3,320308,28,71.5,48,80.6,24.8,5,4.8,32.7,0.9,0.3,66,0,0
741000,247000,3,143715,58,21.4,67,44.5,28.1,10.7,10,30.3,11.3,0.8,57.6,0,0
12020000,4010000,3,1966000,49,71,98,70.5,11.6,11.5,11.3,32.7,1.7,0.5,65,0,0
438693,146231,3,70532,48,55.8,113,66.2,29.2,11,9.2,26,28.8,2,43.3,0,0
542536,180845,3,34853,19,26.6,168,75.2,90.7,7.7,0.8,17,1.4,0.2,81.5,0,0
69620000,23200000,3,5872000,25,51.6,126,68.8,86,4.3,2.1,55.5,7,0.2,37.2,0,0
1070000,357000,3,152231,43,61,206,52.5,50.5,8,4,71.8,9.5,1.7,16.8,0,0
2129000,709766,3,443871,63,66.9,154,57.8,17.2,7.2,6.6,32.6,8.8,1.6,56.5,0,0
